subject,sex,sleep,treat,corner
AM3262,F,Asleep,E,0.105
AM3264,F,Asleep,C,0.105
AM3268,M,Asleep,C,1
AM3273,M,Asleep,C,0.105
AM3276,F,Asleep,B,0.3
AM3277,M,Asleep,E,0
AM3278,M,Asleep,D,0.895
AM3279,F,Asleep,B,0
AM3280,M,Asleep,A,0.7
AM3281,F,Asleep,Control,0.105
AM3282,M,Asleep,C,0
AM3290,F,Asleep,D,0.5
AM3295,F,Asleep,B,0
AM3299,F,Asleep,E,0.895
AM3620,M,Awake,A,0.7
AM3621,M,Awake,Control,0.5
AM3622,F,Awake,E,0
AM3625,F,Awake,Control,0
AM3627,M,Awake,Control,0
AM3629,F,Awake,C,0.5
AM3636,F,Awake,A,0
AM3638,F,Awake,B,0.5
AM3680,M,Awake,D,0
AM3682,M,Awake,F,0.105
AM3685,M,Awake,F,0.895
AM3686,F,Awake,RIC Sham,0
AM3687,M,Awake,D,0.105
AM3688,F,Awake,D,0.105
AM3694,M,Awake,E,0
AM3695,M,Awake,RIC Sham,0.895
AM4540,F,Asleep,C,0
AM4541,M,Asleep,C,0.895
AM4542,F,Asleep,Control,0.105
AM4543,M,Asleep,B,0.7
AM4544,F,Asleep,C,0.105
AM4545,M,Asleep,Control,0
AM4546,F,Asleep,C,0
AM4550,F,Asleep,RIC Sham,0
AM4551,M,Asleep,RIC Sham,0
AM4552,F,Asleep,F,0.105
AM4560,F,Asleep,C,0.105
AM4561,M,Asleep,C,0.3
am4562,M,Asleep,Control,0
AM4563,F,Asleep,Control,0.105
AM4565,F,Asleep,B,0.105
AM4566,F,Asleep,A,0.3
AM4568,M,Asleep,E,0.105
AM4569,F,Asleep,A,0.3
AM4572,M,Asleep,B,0.895
AM4573,F,Asleep,A,0.5
AM4574,M,Asleep,E,0.105
AM4575,F,Asleep,A,0
AM4576,M,Asleep,C,0
AM4577,F,Asleep,B,0.105
AM4579,M,Asleep,C,0
AM4580,F,Awake,B,0.105
AM4583,M,Awake,D,0.105
AM4586,F,Awake,E,0.895
AM4593,F,Awake,RIC Sham,0
AM4600,F,Asleep,D,1
AM4601,F,Asleep,B,0
AM4602,M,Asleep,B,0
AM4603,F,Asleep,C,0.105
AM4604,M,Asleep,B,0
AM4605,M,Asleep,Control,0
AM4606,F,Asleep,E,0
AM4608,M,Asleep,E,0.3
AM4612,F,Asleep,C,0
AM4613,M,Asleep,Control,0.7
AM4615,F,Asleep,E,0.895
AM4616,F,Asleep,C,0.3
AM4619,M,Asleep,C,0
AM4840,M,Awake,F,0
AM4841,F,Awake,RIC Sham,0
AM4842,M,Awake,F,0.5
AM4845,F,Awake,Control,1
AM4847,M,Awake,C,0
AM4850,F,Awake,F,0.7
AM4852,M,Asleep,A,0.5
AM4854,F,Awake,C,0.7
AM4857,M,Awake,D,0.105
AM4920,M,Awake,Control,0.105
AM4921,M,Awake,E,0.3
AM4923,M,Awake,C,1
AM4936,M,Awake,Control,0.895
AM4937,F,Awake,C,0.7
AM4939,F,Awake,D,0.895
AM5380,F,Awake,Control,0.3
AM5382,F,Awake,Control,0.895
AM5386,F,Awake,B,0.7
AM5388,F,Awake,B,0.105
AM5389,M,Awake,E,0.3
AM5391,M,Awake,Control,0
AM5393,M,Awake,RIC Sham,0.105
AM5394,M,Awake,F,0.7
AM5395,M,Awake,F,0.5
AM5397,M,Awake,F,0.105
AM5400,M,Asleep,B,0.3
AM5403,M,Asleep,RIC Sham,0.105
AM5404,F,Asleep,F,0.105
AM5405,F,Asleep,F,0.895
AM5406,M,Asleep,F,0.3
AM5407,M,Asleep,E,0
AM5408,F,Asleep,D,0.3
AM5599,M,Asleep,C,0.7
FR4500,M,Awake,A,0.5
FR4501,M,Awake,Control,0.5
FR4502,M,Awake,D,0.7
FR4503,M,Awake,E,0.5
FR4505,M,Awake,Control,0.3
FR4507,F,Awake,B,1
FR4510,F,Awake,Control,1
FR4511,M,Awake,D,0.7
FR4512,F,Awake,A,0.895
FR4513,M,Awake,RIC Sham,0
FR4514,F,Awake,F,0.7
FR4517,M,Awake,F,1
FR4519,M,Awake,A,0.3
FR4940,M,Asleep,A,0.7
FR4941,M,Asleep,A,0.895
FR4942,F,Asleep,D,0.7
FR4944,F,Asleep,D,0.3
FR4945,M,Asleep,D,0
FR4946,M,Asleep,F,0
FR4947,F,Asleep,RIC Sham,0.105
FR4948,M,Asleep,RIC Sham,0.3
FR4950,M,Asleep,F,1
FR4951,F,Asleep,F,0.3
FR4952,F,Asleep,RIC Sham,1
FR4953,F,Asleep,RIC Sham,0.895
FR4961,M,Awake,C,0.3
FR4962,F,Awake,D,0.3
FR4963,M,Awake,D,0.105
FR4967,M,Awake,E,0
FR4969,M,Awake,E,0.105
FR4970,F,Awake,E,0.105
FR4972,M,Awake,C,0.7
FR4974,M,Awake,RIC Sham,0.895
FR4975,M,Awake,RIC Sham,0.7
FR4976,M,Awake,F,0.5
FR4977,M,Awake,F,0.3
FR4981,F,Asleep,F,0.3
FR4982,M,Asleep,F,1
FR4984,M,Asleep,RIC Sham,0.105
FR5044,M,Asleep,Control,0
FR5045,F,Asleep,D,0.895
FR5046,M,Asleep,E,1
FR5047,F,Asleep,C,0.895
FR5049,F,Asleep,D,0
FR5050,M,Asleep,D,0.895
FR5052,F,Asleep,E,0
FR5053,M,Asleep,B,0.3
FR5055,M,Asleep,D,0
FR5056,M,Asleep,C,0.7
FR5057,F,Asleep,A,0
FR5058,F,Asleep,A,0.105
FR5059,F,Asleep,E,0
FR5060,F,Awake,E,0.7
FR5061,M,Awake,Control,1
FR5063,M,Awake,A,0
FR5068,F,Awake,D,0.5
FR5069,M,Awake,D,0.105
FR5072,F,Awake,F,0.105
FR5073,F,Awake,F,0.105
FR5074,F,Awake,F,0
FR5082,F,Asleep,Control,0.7
FR5083,F,Asleep,D,0.105
FR5086,M,Asleep,C,0
FR5087,F,Asleep,B,0.5
FR5092,M,Asleep,A,0.7
FR5094,M,Asleep,B,0.105
FR5095,M,Asleep,F,0.105
FR5098,F,Asleep,C,0.895
FR5229,F,Awake,E,0.5
FR5230,F,Awake,B,0.7
FR5303,F,Awake,RIC Sham,0.3
FR5304,M,Awake,Control,1
FR5305,M,Awake,B,0
FR5312,M,Awake,Control,0.3
FR5313,F,Awake,D,0.3
FR8085,M,Awake,Control,0.105
FR8086,F,Awake,Control,0
FR8087,M,Awake,C,0.3
FR8094,F,Awake,F,0.5
FR8096,M,Awake,B,0.3
FR8097,M,Awake,A,0.5
FR8099,M,Awake,RIC Sham,0.5
FR8140,F,Awake,B,0.895
FR8141,M,Awake,Control,0.105
FR8145,F,Awake,A,0.5
FR8147,F,Awake,B,0
FR8150,M,Awake,D,0.7
FR8153,F,Awake,C,1
FR8154,M,Awake,C,0.3
FR8158,F,Awake,Control,1
FR8159,F,Awake,C,0.7
FR8240,M,Asleep,Control,1
FR8243,F,Asleep,D,0
FR8244,F,Asleep,E,0.895
FR8245,F,Asleep,C,0.895
FR8246,M,Asleep,E,0.105
FR8248,M,Asleep,A,0.105
FR8249,M,Asleep,B,0.5
FR8253,M,Asleep,E,0.3
FR8257,F,Asleep,B,0.5
FR8259,M,Asleep,B,0.7
FR8340,M,Asleep,C,0.7
FR8341,F,Asleep,B,0.7
FR8353,F,Asleep,C,0
FR8354,M,Asleep,A,0.3
FR8357,F,Asleep,D,0.5
FR8359,F,Asleep,D,0
KW8621,F,Asleep,A,0.5
KW8622,M,Asleep,B,0.7
KW8624,M,Asleep,E,0
KW8627,F,Asleep,D,0.5
KW8628,M,Asleep,Control,0.3
KW8632,M,Asleep,E,1
KW8634,M,Asleep,D,0.895
KW8635,F,Asleep,E,0.3
KW8636,M,Asleep,D,0.3
KW8637,F,Asleep,E,0.5
KW8639,M,Asleep,D,0
KW8741,F,Asleep,B,0.105
KW8742,M,Asleep,Control,0.105
KW8744,M,Asleep,B,0.105
KW8745,F,Asleep,Control,0.3
KW8746,M,Asleep,B,0.5
KW8747,F,Asleep,Control,0.5
KW9340,F,Awake,B,1
KW9345,F,Awake,F,1
KW9346,M,Awake,B,0.5
KW9348,M,Awake,B,0.105
KW9349,M,Awake,B,1
KW9354,M,Awake,B,0.105
KW9358,F,Awake,F,0.895
KW9359,M,Awake,E,0.895
KW9440,F,Awake,A,0.895
KW9441,M,Awake,A,0.3
KW9442,M,Awake,B,0
KW9443,F,Awake,C,0.895
KW9444,F,Awake,E,0.7
KW9447,M,Awake,C,0.105
KW9449,F,Awake,E,0.7
KW9452,M,Awake,A,0.105
KW9453,F,Awake,C,0
KW9456,M,Awake,D,0
KW9457,M,Awake,D,0.3
KW9459,F,Awake,Control,0.7
KX0000,F,Asleep,D,0.5
KX0001,M,Asleep,E,0.5
KX0003,M,Asleep,D,0.895
KX0004,F,Asleep,Control,0.105
KX0005,M,Asleep,Control,0
KX0007,M,Asleep,B,0.3
KX0008,F,Asleep,B,0.5
KX0010,M,Asleep,E,0.3
KX0011,F,Asleep,C,0
KX0012,M,Asleep,D,0.7
KX0013,F,Asleep,D,0
KX0014,M,Asleep,A,0.105
KX0015,M,Asleep,C,0.3
KX0016,M,Asleep,B,0
KX0017,M,Asleep,Control,0.105
KX0018,F,Asleep,B,0
KX0020,M,Awake,B,0.5
KX0021,F,Awake,C,0
KX0022,M,Awake,A,0.3
KX0023,F,Awake,E,0.7
KX0024,M,Awake,B,0.7
KX0025,F,Awake,C,0
KX0026,M,Awake,D,1
KX0028,M,Awake,A,0.105
KX0029,F,Awake,A,0.5
KX0030,M,Awake,C,0.7
KX0032,F,Awake,RIC Sham,0.5
KX0035,F,Awake,F,0.105
KX0040,F,Asleep,D,0.3
KX0042,M,Asleep,D,0
KX0043,F,Asleep,D,0
KX0044,M,Asleep,D,0
KX0045,M,Asleep,E,0.7
KX0046,M,Asleep,C,0.105
KX0047,F,Asleep,B,0.7
KX0048,M,Asleep,E,0.7
KX0049,M,Asleep,D,0.7
KX0050,M,Asleep,D,0
KX0051,F,Asleep,A,0.105
KX0052,F,Asleep,B,0.3
KX0053,M,Asleep,B,0
KX0054,F,Asleep,Control,0.3
KX0055,M,Asleep,C,0.3
KX0056,F,Asleep,C,0.105
KX0057,F,Asleep,E,0
KX0058,M,Asleep,A,0.105
KX0159,F,Awake,A,0.105
KX0286,M,Awake,F,0.3
KX0289,M,Awake,D,0.105
KX0290,M,Awake,B,0.7
KX0291,F,Awake,C,0.5
KX0294,F,Awake,E,0.7
KX0295,F,Awake,B,0
KX0298,M,Awake,E,0.105
KX0299,F,Awake,Control,0.895
KX0360,M,Awake,C,0.895
KX0361,M,Awake,A,0.7
KX0364,M,Awake,Control,0.7
KX0374,M,Awake,RIC Sham,0.3
KX0377,F,Awake,RIC Sham,0.3
KX0379,M,Awake,E,1
KX0540,F,Asleep,Control,0.895
KX0541,M,Asleep,D,0.895
KX0542,F,Asleep,Control,1
KX0543,M,Asleep,D,0
KX0544,F,Asleep,Control,0.105
KX0545,M,Asleep,A,0
KX0546,M,Asleep,F,0.105
KX0547,F,Asleep,RIC Sham,0.105
KX0549,F,Asleep,F,0.3
KX0550,M,Asleep,F,0
KX0551,F,Asleep,RIC Sham,0.7
KX0552,M,Asleep,F,0.105
KX0561,F,Awake,B,0.3
KX0563,F,Awake,D,0.3
KX0564,M,Awake,A,0.3
KX0565,F,Awake,E,0.3
KX0566,M,Awake,B,0.895
KX0567,F,Awake,C,1
KX0569,F,Awake,D,0.5
KX0570,M,Awake,A,0.3
KX0572,M,Awake,E,0.895
KX0574,M,Awake,F,0.3
KX0576,M,Awake,RIC Sham,0.5
KX0577,M,Awake,F,0.895
KX0578,M,Awake,RIC Sham,0.3
KX0580,M,Asleep,B,0.105
KX0581,F,Asleep,E,0.105
KX0584,F,Asleep,F,0.7
KX0589,M,Asleep,RIC Sham,0
KX0590,F,Asleep,RIC Sham,0.5
KX0591,M,Asleep,RIC Sham,0
KX0596,M,Asleep,E,0.3
QC1643,M,Asleep,C,0.105
QC1644,F,Asleep,Control,0
QC1645,M,Asleep,A,0
QC1646,F,Asleep,E,0.7
QC1647,M,Asleep,C,0.895
QC1649,M,Asleep,B,0.895
QC1658,F,Asleep,C,0
QC1659,M,Asleep,D,0.3
QC1680,M,Asleep,E,0.105
QC1690,F,Asleep,A,0.5
QC1693,M,Asleep,Control,1
QC1694,F,Asleep,B,0.7
QC1695,M,Asleep,A,0
QC1697,F,Asleep,C,0.7
QC1699,M,Asleep,A,0.105
QC2301,M,Awake,E,0.7
QC2303,F,Awake,RIC Sham,0
QC2304,M,Awake,RIC Sham,0.3
QC2305,M,Awake,E,0.105
QC2306,F,Awake,E,0.895
QC2308,M,Awake,C,0.5
QC2313,M,Awake,Control,0.7
QC2314,F,Awake,RIC Sham,0.105
QC2316,M,Awake,RIC Sham,0
QC2317,F,Awake,RIC Sham,0.7
QC2318,M,Awake,E,0.5
QC2422,M,Awake,A,0.895
QC2423,F,Awake,D,0.3
QC2427,M,Awake,Control,0.7
QC2428,F,Awake,Control,0.105
QC2433,F,Awake,D,0
QC2435,F,Awake,A,0.7
QC3031,F,Asleep,Control,0.7
QC3032,M,Asleep,B,0.105
QC3033,M,Asleep,C,0
QC3034,M,Asleep,A,0.5
QC3035,F,Asleep,C,0.7
QC3036,M,Asleep,A,0.5
QC3037,M,Asleep,Control,0.105
QC3038,M,Asleep,A,0.3
QC3040,M,Awake,C,0.7
QC3041,F,Awake,A,0
QC3043,F,Awake,Control,0
QC3045,F,Awake,C,0.7
QC3046,M,Awake,Control,0.3
QC3047,F,Awake,Control,0.7
QC3049,F,Awake,B,0.3
QC3050,M,Awake,C,0.105
QC3055,F,Awake,RIC Sham,0.105
QC3149,F,Awake,Control,0.7
QC3241,M,Awake,F,0
QC3250,F,Awake,B,0.5
QC3252,F,Awake,C,0.7
QC3254,M,Awake,RIC Sham,0.7
QC3331,M,Awake,A,0.105
QC3333,M,Awake,D,0.105
QC3334,M,Awake,B,0.7
QC3335,M,Awake,Control,0.895
QC3336,F,Awake,B,0.895
QC3338,M,Awake,E,1
QC3780,F,Asleep,Control,0.105
QC3781,M,Asleep,A,0.3
QC3782,M,Asleep,Control,0.895
QC3783,M,Asleep,E,0.7
QC3784,F,Asleep,B,0
QC3786,F,Asleep,Control,0
QC3787,M,Asleep,F,0.895
QC3788,F,Asleep,F,0
QC3789,M,Asleep,RIC Sham,1
QC3790,F,Asleep,F,0.7
QC3791,M,Asleep,F,0.895
QC3792,F,Asleep,RIC Sham,1
QC3793,F,Asleep,F,0.7
QC3800,M,Awake,B,0.105
QC3801,F,Awake,C,0.105
QC3802,M,Awake,A,0.3
QC3804,M,Awake,F,0.5
QC3805,M,Awake,F,0.105
QC3806,M,Awake,F,0
QC3807,M,Awake,F,1
QC3808,M,Awake,RIC Sham,0
QC3811,F,Awake,D,0.3
QC3812,M,Awake,B,0.105
QC3813,F,Awake,Control,0.5
QC3814,M,Awake,A,1
QC3815,F,Awake,Control,0.7
QC3816,M,Awake,Control,1
QC3818,M,Awake,E,0.5
QC3819,F,Awake,A,0.5
QC3820,F,Asleep,RIC Sham,0.895
QC3821,M,Asleep,RIC Sham,0.3
QC3822,F,Asleep,RIC Sham,0.7
QC3823,F,Asleep,RIC Sham,0.5
QC3825,M,Asleep,Control,0.7
QC3826,F,Asleep,B,1
QC3833,M,Asleep,C,0
QC3835,M,Asleep,F,0
QC3839,M,Asleep,RIC Sham,1
QC3882,M,Asleep,Control,0.3
QC3883,F,Asleep,D,0.3
QC3884,F,Asleep,A,0
QC3885,M,Asleep,D,0
QC3887,M,Asleep,C,0
QC3888,M,Asleep,B,0.7
QC3889,F,Asleep,A,0
QC3895,F,Asleep,E,0.3
QC3896,M,Asleep,Control,0.3
VH1368,F,Awake,F,0.3
VH1369,M,Awake,RIC Sham,0.5
VH1371,M,Awake,D,1
VH1372,M,Awake,Control,0.105
VH1880,M,Asleep,E,0.3
VH1881,F,Asleep,D,0
VH1882,M,Asleep,E,0.7
VH1883,F,Asleep,C,0
VH1884,M,Asleep,D,0.895
VH1885,F,Asleep,A,0
VH1886,F,Asleep,E,0.105
VH1887,M,Asleep,RIC Sham,0.105
VH1889,M,Asleep,RIC Sham,1
VH1890,M,Asleep,RIC Sham,0.105
VH1891,F,Asleep,F,0.3
VH1892,M,Asleep,F,1
VH1901,F,Awake,A,0.7
VH1902,M,Awake,C,0.7
VH1903,F,Awake,Control,0.5
VH1904,M,Awake,D,0.105
VH1905,F,Awake,C,0.105
VH1906,M,Awake,C,0.895
VH1907,F,Awake,B,0.105
VH1908,M,Awake,A,0.3
VH1910,M,Awake,D,0.3
VH1914,M,Awake,RIC Sham,0.7
VH1915,M,Awake,F,0.105
VH1916,M,Awake,F,0.5
VH1917,M,Awake,RIC Sham,0.5
VH1922,F,Asleep,A,0.105
VH1923,M,Asleep,Control,0.3
VH1924,F,Asleep,E,0.5
VH1926,M,Asleep,F,0.105
VH1930,F,Asleep,F,0.3
VH1932,M,Asleep,RIC Sham,0.7
VH1933,F,Asleep,RIC Sham,0
VH1980,F,Asleep,B,0
VH1981,M,Asleep,A,0.5
VH1982,F,Asleep,A,1
VH1983,F,Asleep,B,0.105
VH1984,M,Asleep,B,0.105
VH1985,M,Asleep,E,0.5
VH1986,F,Asleep,C,0
VH1987,M,Asleep,C,0
VH1990,F,Asleep,C,0
VH1992,F,Asleep,B,0.105
VH1993,F,Asleep,D,1
VH1995,M,Asleep,Control,0.5
VH1996,M,Asleep,A,0.105
VH1997,F,Asleep,B,0.3
VH1998,F,Asleep,E,0.105
VH2000,M,Awake,Control,0.105
VH2002,M,Awake,C,0.105
VH2003,F,Awake,D,0.895
VH2005,F,Awake,B,0.895
VH2006,M,Awake,E,0.7
VH2008,M,Awake,D,0.105
VH2009,F,Awake,C,0.895
VH2010,M,Awake,E,0.3
VH2011,F,Awake,E,0.5
VH2012,F,Awake,F,0.3
VH2013,F,Awake,F,0.895
VH2014,F,Awake,RIC Sham,0.7
VH2015,F,Awake,F,1
VH2021,F,Asleep,A,0.5
VH2022,M,Asleep,E,0.105
VH2023,F,Asleep,Control,0.105
VH2024,M,Asleep,A,0.7
VH2027,M,Asleep,A,0
VH2031,F,Asleep,E,0
VH2032,F,Asleep,Control,0
VH2033,M,Asleep,A,0.5
VH2034,M,Asleep,Control,0
VH2035,M,Asleep,C,0.105
VH2036,F,Asleep,C,0.105
VH2037,M,Asleep,A,0
VH2038,F,Asleep,Control,0.5
VH2100,F,Awake,B,0.7
VH2261,F,Awake,F,0.895
VH2264,M,Awake,D,0.3
VH2267,F,Awake,Control,0.7
VH2268,F,Awake,A,0.5
VH2272,F,Awake,C,0.7
VH2278,F,Awake,RIC Sham,0.895
VH2321,M,Awake,D,0.7
VH2322,M,Awake,C,0.105
VH2327,M,Awake,RIC Sham,0.105
VH2328,F,Awake,E,0.895
VH2330,M,Awake,D,0.105
VH2336,F,Awake,F,0.7
VH2337,M,Awake,C,1
VH2339,M,Awake,C,0.3
VH2700,F,Awake,Control,0.7
VH2701,M,Awake,E,0
VH5100,M,Awake,RIC Sham,0.5
VH5115,F,Awake,C,0.5
VH5116,F,Awake,A,0
VH5202,M,Asleep,B,0.105
VH5204,F,Asleep,A,1
VH5206,F,Asleep,Control,0
VH5207,M,Asleep,D,0
VH5208,M,Asleep,C,0.5
VH5209,F,Asleep,A,0.3
VH5211,M,Asleep,D,0.7
VH5213,M,Asleep,A,0.3
VH5214,F,Asleep,E,0.5
VH5215,F,Asleep,A,0.105
VH5216,F,Asleep,D,0.105
VH5311,F,Asleep,D,0.7
VH5312,M,Asleep,Control,0.5
VH5313,F,Asleep,D,0.5
VH5314,M,Asleep,C,0.5
VH5315,F,Asleep,A,0.5
VH5317,F,Asleep,Control,0.7
VH5318,M,Asleep,Control,0.7
